학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권
초,공립,유성구,대전송강초등학교,대전광역시 유성구 송강로42번길 6. 대전송강초등학교 (송강동),본교,289,127.3842040,36.4342453,구즉동,덕암동1,3580.365993581299,1.5km 초과
초,공립,유성구,대전송림초등학교,대전광역시 유성구 노은로410번길 123-14(하기동),본교,184,127.3323062,36.3888958,노은2동,장대A,3241.3074228520627,1.5km 초과
초,공립,유성구,대전수정초등학교,대전광역시 유성구 노은서로 62(노은동. 대전수정초등학교),본교,146,127.3134568,36.3661138,노은1동,장대A,1845.9863447850917,1.5km 초과
초,공립,유성구,대전어은초등학교,대전광역시 유성구 농대로 46(어은동),본교,510,127.3536946,36.3648963,온천2동,장대C,1683.4414578671879,1.5km 초과
초,공립,유성구,대전용산초등학교,대전광역시 유성구 배울2로 101(용산동),본교,1126,127.3950763,36.4201335,관평동,신대주공,3287.6557699142627,1.5km 초과
초,공립,유성구,대전원신흥초등학교,대전광역시 유성구 원신흥로55번길 37(원신흥동. 대전원신흥초등학교),본교,243,127.3425185,36.3409794,원신흥동,장대B,1947.7079635531702,1.5km 초과
초,공립,유성구,대전원신흥초등학교복용분교장,대전광역시 유성구 유성대로 600(상대동),분교장,669,127.3303713,36.3467430,상대동,장대B,1313.2408965726847,1~1.5km
초,공립,유성구,대전자운초등학교,대전광역시 유성구 자운로97번길 380(신봉동.자운초등학교),본교,357,127.3387617,36.4123998,신성동,도룡동2,4720.382725821635,1.5km 초과
초,공립,유성구,대전장대초등학교,대전광역시 유성구 문화원로19번길 16(장대동),본교,315,127.3395598,36.3615475,온천2동,장대C,456.3283926644965,1km 이내
초,공립,유성구,대전전민초등학교,대전광역시 유성구 엑스포로466번길 42(전민동.대전전민초등학교),본교,985,127.4069267,36.3985633,전민동,신대주공,1331.6802087262201,1~1.5km
초,공립,유성구,대전죽동초등학교,대전광역시 유성구 죽동로 52(죽동) 죽동초등학교,본교,818,127.3356513,36.3704210,온천2동,장대A,1226.5430735563446,1~1.5km
초,공립,유성구,대전지족초등학교,대전광역시 유성구 노은서로 238(지족동),본교,426,127.3172754,36.3805555,노은2동,장대A,2685.6760220555934,1.5km 초과
초,공립,유성구,대전하기초등학교,대전광역시 유성구 송림로19번길 32(하기동)대전하기초등학교,본교,348,127.3215859,36.3885740,노은2동,장대A,3349.943809439751,1.5km 초과
초,공립,유성구,덕송초등학교,대전광역시 유성구 현충원로 265(덕명동),본교,157,127.3019117,36.3611802,학하동,장대A,2743.125889331805,1.5km 초과
초,공립,유성구,문지초등학교,대전광역시 유성구 전민로 41(문지동),본교,339,127.3994116,36.3958310,전민동,신대주공,2045.8784104337756,1.5km 초과
초,공립,유성구,봉암초등학교,대전광역시 유성구 궁동로 21(궁동. 봉암초등학교),본교,37,127.3476616,36.3640974,온천2동,장대C,1172.9254258250726,1~1.5km
초,공립,유성구,외삼초등학교,대전광역시 유성구 반석동로 63(반석동.외삼초등학교),본교,580,127.3105126,36.3928996,노은3동,장대A,4176.9991549650385,1.5km 초과
초,공립,유성구,유성초등학교,대전광역시 유성구 장대로71번길 12(장대동. 유성초등학교),본교,108,127.3337025,36.3624162,온천2동,장대A,324.8225534501768,1km 이내
초,공립,유성구,진잠초등학교,대전광역시 유성구 진잠로59번길 53. 진잠초등학교 (원내동. 진잠초등학교),본교,287,127.3151578,36.2991072,진잠동,정림동1,4846.383267750176,1.5km 초과
초,공립,유성구,학하초등학교,대전광역시 유성구 진잠옛로 165. 학하초등학교 (학하동),본교,156,127.3122319,36.3343471,학하동,장대A,3343.265548136355,1.5km 초과
