학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,slope_point,slope_300m_mean,slope_300m_max,운영상태,도심거리_km,학교밀도_2km,y_운영12
초,공립,서구,대전성천초등학교,대전광역시 서구 갈마역로 139(월평동. 성천초등학교),본교,29,127.3734766,36.3631631,월평2동,0.6669366955757141,1.1791690587997437,9.440628051757812,미운영,1.7269538305310448,10,0
초,공립,서구,대전수미초등학교,대전광역시 서구 괴곡길 42(괴곡동. 대전수미초등학교),본교,61,127.3615389,36.2953352,정림동,1.1421006917953491,9.18556022644043,46.14851760864258,미운영,6.446175134489113,6,0
초,공립,서구,대전신계초등학교,대전광역시 서구 복수동로 26(복수동. 신계초등학교),본교,617,127.3778077,36.3019821,복수동,5.965056896209717,4.559946537017822,33.12766647338867,미운영,5.404039972570248,8,0
초,공립,서구,대전원앙초등학교,대전광역시 서구 관저북로 97. 대전원앙초등학교 (관저동),본교,224,127.3378,36.3114556,관저1동,0.6063380241394043,6.691141605377197,28.72824478149414,미운영,6.018916047524514,12,0
초,공립,서구,대전월평초등학교,대전광역시 서구 월평서로 22(월평동.월평초등학교),본교,110,127.358104,36.3557995,월평1동,0.5567687153816223,1.376761555671692,12.85252571105957,미운영,2.4429171680194752,10,0
초,공립,서구,대전유천초등학교,대전광역시 서구 제비네6길 69(도마동),본교,485,127.3754395,36.3141096,도마2동,0.479310393333435,3.7988440990448,19.14300346374512,미운영,4.106677671876554,12,0
초,공립,서구,대전정림초등학교,대전광역시 서구 정림로 32(정림동)대전정림초등학교,본교,444,127.3665373,36.3036623,정림동,0.1348430216312408,2.7691426277160645,37.25838851928711,미운영,5.429093817204686,8,0
초,공립,서구,대전탄방초등학교,대전광역시 서구 탄방로 15(탄방동. 대전탄방초등학교),본교,602,127.3911856,36.3456534,탄방동,2.267944097518921,2.5706946849823,30.28644561767578,미운영,0.7981729440826727,16,0
초,공립,서구,대전탄방초등학교용문분교장,대전광역시 서구 도솔로 500,분교장,493,127.3975163,36.3409359,용문동,1.1683964729309082,2.6709115505218506,60.07164764404297,미운영,1.5704179049495153,15,0
초,공립,서구,대전호수초등학교,대전광역시 서구 도안동로 182-20(도안동),본교,897,127.3502082,36.3204731,도안동,1.579992413520813,1.634430170059204,11.391263008117676,미운영,4.526616002676011,7,0
초,공립,서구,한밭초등학교,대전광역시 서구 문정로 221(둔산동),본교,1604,127.3941584,36.3545007,둔산1동,3.024517059326172,1.5431984663009644,8.75123405456543,미운영,0.9787176828899796,11,0
초,사립,서구,대전삼육초등학교,대전광역시 서구 도림1길 15. 대전삼육초등학교 (도마동),본교,511,127.3727877,36.3115181,도마2동,3.3969597816467285,6.080471515655518,35.49541091918945,미운영,4.439071182449395,10,0
초,공립,유성구,구즉초등학교,대전광역시 유성구 구룡달전로 34(봉산동),본교,418,127.3822122,36.4407059,구즉동,2.7425715923309326,8.515974998474121,39.94380187988281,운영,10.019021992834558,3,1
초,공립,유성구,금성초등학교,대전광역시 유성구 신성로72번길 5(신성동. 금성초등학교),본교,338,127.3500818,36.3893002,신성동,0.8427045345306396,3.7172908782958975,27.572460174560547,미운영,5.305725704573552,1,0
초,공립,유성구,남선초등학교,대전광역시 유성구 계백로93번길 277-29(송정동. 남선초등학교),본교,44,127.2646541,36.2873073,진잠동,5.538247585296631,12.314973831176758,37.07854080200195,운영,12.83380877016533,0,1
초,공립,유성구,대덕초등학교,대전광역시 유성구 대덕대로556번길 102(도룡동),본교,641,127.3817273,36.3850882,신성동,1.8105175495147705,13.912479400634766,36.83192443847656,미운영,3.85570173737941,3,0
초,공립,유성구,대덕초등학교도룡분교장,대전광역시 유성구 엑스포로97번길 100(도룡동),분교장,60,127.3913403,36.3787207,신성동,0.3576894402503967,13.375835418701172,51.003456115722656,미운영,3.2007507865754916,4,0
초,공립,유성구,대전계산초등학교,대전광역시 유성구 학하서로 74(계산동),본교,708,127.2993032,36.3438972,학하동,0.4361161887645721,6.706846237182617,33.18271255493164,운영,7.678762542641024,2,1
초,공립,유성구,대전관평초등학교,대전광역시 유성구 테크노4로 132(관평동),본교,414,127.3876376,36.4245116,관평동,2.3013486862182617,1.5749648809432983,8.16797161102295,미운영,8.225418322442684,6,0
초,공립,유성구,대전교촌초등학교,대전광역시 유성구 진잠로149번길 42(교촌동.대전교촌초등학교),본교,279,127.3167901,36.306002,진잠동,0.5491430163383484,3.689442873001098,18.857746124267575,미운영,7.8220348514380165,6,0
초,공립,유성구,대전노은초등학교,대전광역시 유성구 노은동로99번길 35. 대전노은초등학교 (노은동.노은초등학교),본교,686,127.3212215,36.368934,노은1동,0.8500644564628601,1.407307267189026,19.77891540527344,미운영,6.037910096274051,8,0
초,공립,유성구,대전대정초등학교,대전광역시 유성구 대정로28번길 55   대전대정초등학교(대정동),본교,260,127.3232795,36.3152767,진잠동,2.075685977935791,3.751725673675537,17.987751007080078,미운영,6.735463500620908,6,0
초,공립,유성구,대전동화초등학교,대전광역시 유성구 관평2로 43(관평동. 대전동화초등학교),본교,688,127.3895368,36.4226468,관평동,1.9511816501617432,1.5981181859970093,9.450234413146973,미운영,8.026476653542327,5,0
